GrantId,Distance_Min,Grant_Match
2010,0,"[{""Grant"":""101"",""Jaccard"":0},{""Grant"":""584"",""Jaccard"":0},{""Grant"":""1051"",""Jaccard"":0},{""Grant"":""1736"",""Jaccard"":0},{""Grant"":""1760"",""Jaccard"":0},{""Grant"":""2135"",""Jaccard"":0},{""Grant"":""2157"",""Jaccard"":0}]"
2035,0,"[{""Grant"":""1996"",""Jaccard"":0},{""Grant"":""2149"",""Jaccard"":0},{""Grant"":""2165"",""Jaccard"":0},{""Grant"":""2183"",""Jaccard"":0}]"
2054,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""318"",""Jaccard"":0},{""Grant"":""516"",""Jaccard"":0},{""Grant"":""556"",""Jaccard"":0},{""Grant"":""769"",""Jaccard"":0},{""Grant"":""810"",""Jaccard"":0},{""Grant"":""1118"",""Jaccard"":0},{""Grant"":""1175"",""Jaccard"":0},{""Grant"":""1732"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
2058,0.5,[]
2067,0.8,[]
2069,0.3445378151260504,[]
2073,0.8620689655172413,[]
2099,0.6666666666666666,[]
2100,0.8235294117647058,[]
2112,0.7836990595611285,[]
2121,0.5,[]
2130,0.7777777777777778,[]
2135,0,"[{""Grant"":""101"",""Jaccard"":0},{""Grant"":""584"",""Jaccard"":0},{""Grant"":""1051"",""Jaccard"":0},{""Grant"":""1736"",""Jaccard"":0},{""Grant"":""1760"",""Jaccard"":0},{""Grant"":""2010"",""Jaccard"":0},{""Grant"":""2157"",""Jaccard"":0}]"
2137,0.90625,[]
2141,0.4,[]
2142,0.5,[]
2148,0.8333333333333334,[]
2149,0,"[{""Grant"":""1996"",""Jaccard"":0},{""Grant"":""2035"",""Jaccard"":0},{""Grant"":""2165"",""Jaccard"":0},{""Grant"":""2183"",""Jaccard"":0}]"
2150,0.5,[]
2152,0.5,[]
2154,0.7727272727272727,[]
2157,0,"[{""Grant"":""101"",""Jaccard"":0},{""Grant"":""584"",""Jaccard"":0},{""Grant"":""1051"",""Jaccard"":0},{""Grant"":""1736"",""Jaccard"":0},{""Grant"":""1760"",""Jaccard"":0},{""Grant"":""2010"",""Jaccard"":0},{""Grant"":""2135"",""Jaccard"":0}]"
2165,0,"[{""Grant"":""1996"",""Jaccard"":0},{""Grant"":""2035"",""Jaccard"":0},{""Grant"":""2149"",""Jaccard"":0},{""Grant"":""2183"",""Jaccard"":0}]"
2166,0.8,[]
2183,0,"[{""Grant"":""1996"",""Jaccard"":0},{""Grant"":""2035"",""Jaccard"":0},{""Grant"":""2149"",""Jaccard"":0},{""Grant"":""2165"",""Jaccard"":0}]"
2198,0.9069767441860465,[]
2200,0.75,[]
2205,0.5,[]
2212,0,"[{""Grant"":""2414"",""Jaccard"":0}]"
2213,0.8472222222222222,[]
2229,0.5942028985507246,[]
2235,0.8,[]
2239,0.7272727272727273,[]
2265,0.6666666666666666,[]
2268,0.9333333333333333,[]
2271,0.8888888888888888,[]
2272,0.9956331877729258,[]
2279,0.9722222222222222,[]
2281,0.625,[]
2289,0.5833333333333334,[]
2292,0.7857142857142857,[]
2303,0.6666666666666666,[]
2323,0.7818181818181819,[]
2357,0.875,[]
2381,0.5,[]
2400,0.875,[]
2414,0,"[{""Grant"":""2212"",""Jaccard"":0}]"
2445,0.5170454545454546,[]
2479,0.5,[]
2523,0.9230769230769231,[]
2575,0.7573529411764706,[]
2594,0.6811594202898551,[]
2599,0.7267605633802817,[]
2631,0.5,[]
2673,0.8181818181818182,[]
2687,0.9,[]
2688,0.5,[]
2736,0.8888888888888888,[]
2743,0.8125,[]
2754,0.6486486486486487,[]
2767,0.7495183044315993,[]
2774,0.7307692307692307,[]
2775,0.9844961240310077,[]
2783,0,"[{""Grant"":""3525"",""Jaccard"":0}]"
2785,0.8857142857142857,[]
2800,0,"[{""Grant"":""1213"",""Jaccard"":0}]"
2805,0.8611111111111112,[]
2807,0,"[{""Grant"":""620"",""Jaccard"":0},{""Grant"":""1299"",""Jaccard"":0},{""Grant"":""1541"",""Jaccard"":0},{""Grant"":""3425"",""Jaccard"":0}]"
2809,0.75,[]
2823,0.8333333333333334,[]
2825,0,"[{""Grant"":""966"",""Jaccard"":0}]"
2836,0,"[{""Grant"":""7364"",""Jaccard"":0}]"
2841,0.75,[]
2843,0.8888888888888888,[]
2851,0.827930174563591,[]
2871,0.6666666666666666,[]
2918,0.6666666666666666,[]
2919,0.9985486211901307,[]
2922,0.7087378640776699,[]
2924,0.8313253012048193,[]
2952,0.5,[]
2959,0,"[{""Grant"":""1751"",""Jaccard"":0}]"
2966,0.5384615384615384,[]
2974,0.4166666666666667,[]
2979,0.8888888888888888,[]
2983,0.8529411764705882,[]
2984,0.5,[]
2986,0.6363636363636364,[]
3004,0.625,[]
3020,0.5,[]
3023,0.5,[]
3059,0.9,[]
3062,0.9310344827586207,[]
3075,0.4444444444444444,[]
3089,1,[]
3116,0.875,[]
3126,0.9523809523809523,[]
3150,0.9333333333333333,[]
3153,0.8235294117647058,[]
3169,0.8,[]
3224,0.7294776119402985,[]
3274,0,"[{""Grant"":""6308"",""Jaccard"":0}]"
3278,0.875,[]
