Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
squeaksme,3,0,4,0.75,2,0,1,0,0,1,0,0.6394532051293897,0.6691527102283904
mahirakh,3,0,3,0.29,12,0,1,0,0.33,3,1,0.5258936607055406,0.564947464099903
vik771,2,0,0,0,12,0.07,1,0,0,1,0,0.4977370882822014,0.5391102473833798
rgkmkw,3,0,0,0,1,0,1,0,0,1,0,0.3932217986128693,0.4432042489977819
victorjnr01,3,0,3,0.33,4,0,1,0,1,1,1,0.4865953204205375,0.528886266050752
icefacter,3,0,2,0.38,5,0,1,0,0,1,0,0.6027494977980733,0.6354724161087483
yaphs3,1,1,3,0.11,5,0,1,0,1,1,1,0.3140097243294888,0.3705171513264552
numanceylanali,5,0,2,0,1,0,1,0,0,2,0,0.473433656676837,0.5168087747502086
rx5803070,4,0,0,0,2,0.07,1,0,1,1,1,0.36622948456618437,0.41843538660860247
urabyakko,3,0,3,0.33,4,0.25,0,0,0,2,0,0.76416190953158,0.783588720891584
mastmcdonough,6,0,0,0.33,4,0.06,1,0,0,1,0,0.6409667410190403,0.6705415708539373
greencandlefund,6,0,4,0,14,0.11,1,0,0,3,0,0.7069561665961336,0.7310952158075741
bethvaight,4,0,0,0.18,9,0.11,0,0,1,1,1,0.5979871266288067,0.6311023381697564
ibizugbe7,4,0,3,0.29,14,0.1,0,0,0.87,102,89,0.5824914020442898,0.6168830508129668
meghanbrandt,4,0,2,0,1,0.07,1,0,0,1,0,0.5374567792178032,0.5755580879509982
oyisini,2,0,1,0.2,3,0,1,0,1,3,3,0.2791078454382324,0.3384902627134165
calebini,3,0,3,0.6,3,0,0,0,0,4,0,0.6401425200095359,0.6697852438221987
alextricky,3,0,4,0.43,5,0.13,1,0,0,3,0,0.6950825791834299,0.7201996974691873
robiin37,3,0,3,0.36,11,0.15,1,0,0,1,0,0.7635871724599301,0.7830613269299905
homnayw,3,0,2,0,1,0.1,1,0,1,1,1,0.3875280207422794,0.437979487596915
maksimker,3,0,2,0.5,5,0.18,1,0,0.33,3,1,0.5632330900710937,0.5992111135982852
nadi4234987159,7,0,0,0,11,0,0.02,0,0,3,0,0.5601394892416982,0.596372343528486
liandangji07204066,8,0,0,0,11,0,0.02,0,0,3,0,0.5626047601535342,0.5986345414216235
akbar04k,3,0,2,0,19,0.1,1,0,0,1,0,0.6389875017787281,0.6687253684974529
tukong88599960,7,0,0,0,11,0,0.02,0,0,3,0,0.5601394892416982,0.596372343528486
xianggouao8308568,7,0,0,0,11,0,0.02,0,0,3,0,0.5601394892416982,0.596372343528486
luyan24531,3,0,0,0,11,0,0.02,0,0,3,0,0.4895577111789132,0.5316046342836599
vlysenkoftw,5,0,3,0.27,8,0.13,1,0,0,1,0,0.7833536924546817,0.8011996092875603
pujiulie8917,6,0,0,0,11,0,0.02,0,0,3,0,0.5552699323806127,0.5919039091593578
guibiwei759686,7,0,0,0,11,0,0.02,0,0,3,0,0.5601394892416982,0.596372343528486
shi4693124119,6,0,0,0,11,0,0.02,0,0.33,3,1,0.46183542561035784,0.5061659306892412
fupingyuan36391492,8,0,0,0,11,0,0.02,0,0,3,0,0.5626047601535342,0.5986345414216235
putao68388,3,0,0,0,11,0,0.02,0,0,3,0,0.4895577111789132,0.5316046342836599
nesroxart,3,0,3,0.5,3,0,1,0,0,1,0,0.6215550426247928,0.6527288821961295
ivamosk,2,0,2,0.36,8,0.08,1,0,0,1,0,0.6356074564280922,0.6656237493471168
rigorously,4,0,3,0.73,8,0.21,0,0,0,1,0,0.8776826453428741,0.88775835520916
mita2022agustiani,8,0,3,0.04,18,0.11,1,0,1,3,3,0.5775091154038775,0.6123111726121433
rijessam,3,0,1,0.08,10,0,1,0,0,1,0,0.5588772853190714,0.5952141117736038
majibar8,3,0,3,0.15,25,0.26,1,0,0.67,3,2,0.5982440026833383,0.6313380544419799
subik96,3,0,2,0.2,8,0.1,1,0,0,1,0,0.6672771323022563,0.6946846828513868
artyzee,2,0,0,0.29,4,0,1,0,1,1,1,0.34975245649277326,0.4033156291759088
wanster109,3,0,4,0.19,24,0,1,0,0.12,8,1,0.5392937202120798,0.5772437136674738
vlos1994,2,0,3,0.33,8,0.15,1,0,0,1,0,0.6982094445378726,0.7230689919483392
koolkheart,3,0,2,0.53,27,0.1,0,0,0.67,30,20,0.5711426549156652,0.6064691398221445
oostafiychuk,4,0,3,0.2,8,0.15,1,0,0,1,0,0.755869802648965,0.775979663960169
rahmanas,2,0,0,0,1,0,1,0,0,1,0,0.35099987618204564,0.40446029452663423
tama2223,2,0,3,0.25,2,0.06,1,0,0,1,0,0.5911808351983028,0.6248567048560943
vodov1963,3,0,3,0.27,8,0.15,1,0,0,1,0,0.7329579370080778,0.7549551291182516
fred2477,2,0,1,0,26,0,0,0,0.7,23,16,0.33087114247011273,0.38598963526722424
jinxian2022,3,0,3,0.37,19,0.13,1,0,0.67,6,4,0.5726469506594692,0.6078495214450934
phisci200,3,0,0,0,17,0.1,1,0,0,1,0,0.5739572033404975,0.609051844013485
sterlingb-eth,5,0,3,0,1,0,1,0,0,2,0,0.5020965890925623,0.5431106408091003
gabrielhm,1,1,0,0.67,1,0,0,0,0,1,0,0.43656177869111484,0.4829741627832835
ssa-hasans,4,0,1,0.32,54,0.15,0,0,1,2,2,0.6594747531495037,0.687525013057664
omalicha,3,0,0,0.29,38,0.11,0,0,0.79,39,31,0.5006643664863606,0.5417963954064156
maahshaadii,4,0,4,0.5,8,0.1,1,0,0.5,16,8,0.554506696333695,0.5912035435447658
ldmlvrtnk,4,0,3,0.2,8,0.18,1,0,0,1,0,0.7629459063381856,0.7824728841496917
lcalixxto,4,0,0,0.75,6,0.21,1,0,0,5,0,0.6337150745587369,0.6638872496150533
arnadawl1,1,2,1,0,12,0,1,0,0,2,0,0.3439847574554117,0.3980230357542582
linh61517o,4,0,0,0,1,0,1,0,0,1,0,0.42870395866328354,0.47576361897397285
rootbakuryu,4,0,4,0.4,4,0,1,0,0,1,0,0.6859034182995545,0.7117766562883675
pastetas12,4,0,0,0.68,17,0,1,0,0,1,0,0.6515485560424086,0.6802517246291284
sercheir,2,0,3,0.57,5,0.13,1,0,0.67,3,2,0.5043364004457447,0.5451659510388474
ilyasss10,3,0,1,0.17,5,0.1,1,0,0,1,0,0.6102173836711838,0.6423251460084247
enginpe,1,1,2,0.07,13,0.11,0,0,0,1,0,0.6139707309140168,0.6457693168637186
sanamsaraff,4,0,3,0.39,12,0.08,1,0,0,11,0,0.685142030281806,0.7110779864742951
x608oy52,4,0,0,0.5,1,0.08,1,0,1,1,1,0.4544377648456803,0.4993776412093093
